longitude,latitude,TP
112.7276667,26.42197222,1.07
112.7379722,26.40002778,0.85
112.7385278,26.38961111,0.81
112.7434722,26.40619444,0.91
112.7462500,26.41030556,1.13
112.7493889,26.41788889,1.08
112.7643056,26.45711111,1.03
112.7837222,26.47413889,1.5
112.7951667,26.49663889,0.87
113.1040278,26.46744444,0.98
113.1105278,26.45275,1.02
113.1833333,26.47527778,1.03
113.1224167,26.47433333,1
113.1155556,26.47119444,1.15
113.1091389,26.51472222,1.21
113.1031944,26.51597222,0.91
113.0916111,26.51727778,1.35
113.0868333,26.51383333,1.02
113.0905278,26.50155556,1.29
112.9333333,26.45936111,1.22
112.9215278,26.45136111,1.11
112.9239444,26.44283333,1.24
112.7339722,26.51483333,0.79
112.7468889,26.53036111,0.72
112.1980556,26.59197222,0.62
112.1750000,26.68738889,0.59
112.1757500,26.69822222,0.43
112.1799444,26.70869444,0.78
112.1834444,26.72108333,0.65
112.1657222,26.69830556,0.43
112.1084444,26.66822222,0.6
112.1225833,26.69588889,0.46
112.1170278,26.71041667,0.59
112.0138611,26.66077778,0.58
112.0213611,26.66338889,0.85
112.0329722,26.70488889,0.95
112.0553889,26.72619444,0.66
112.0450833,26.73477778,0.79
112.0392222,26.76161111,1.07
112.0318056,26.74830556,0.79
112.0497778,26.75588889,0.84
112.0719167,26.74563889,0.84
112.0821944,26.74619444,0.52
112.0122500,26.68622222,1.01
112.0010000,26.71563889,0.58
111.9656389,26.71408333,0.8
111.9568611,26.72266667,0.52
111.9763611,26.73072222,0.73
111.9432222,26.72761111,0.63
111.9638056,26.73377778,1.05
111.9648889,26.74294444,0.84
111.9577500,26.75658333,0.85
111.9467222,26.76583333,0.68
111.9378056,26.77719444,0.93
111.9567778,26.76722222,0.93
111.9591944,26.77222222,1.01
111.9563889,26.78083333,0.92
111.9438611,26.82563889,0.72
111.9628056,26.83519444,0.62
111.9706944,26.82577778,0.69
112.0103889,26.815,0.79
112.0337778,26.79580556,0.67
112.1199500,27.09106,0.67
112.4251500,27.18738,0.83
112.4099900,27.21021,0.61
112.0953800,27.13996,0.75
112.4828500,27.13349,0.5
112.0547100,27.13991,0.65
112.4736300,27.13862,0.48
112.0568500,27.13273,0.66
112.4260300,27.19826,0.65
112.0994800,27.11238,0.44
112.1398300,27.10181,0.67
112.1115000,27.14272,0.58
112.1621600,27.07078,0.78
112.2115800,27.07542,0.41
112.1824400,27.07749,0.67
112.1999230,27.04068,0.47
112.1826200,27.05585,0.61
112.2457900,27.07991,0.57
112.1714100,27.06785,0.86
112.1582600,27.07408,0.78
112.2494400,27.16934,0.59
112.2970500,27.14583,0.64
112.2447700,27.1883,0.68
112.2941600,27.12484,0.74
112.2444900,27.22963,0.67
112.2570900,27.16768,0.61
112.2416800,27.22195,0.32
112.2858700,27.12919,0.43
112.4172400,27.22318,0.59
112.4201400,27.18855,0.63
112.4744600,27.16513,0.47
112.4707700,27.14479,0.61
